Status,Genus,Species,Body,Brain
Extant,Pagophilus,groenlandicus,11.7924493497205,5.43951306321481
Extant,Pusa,caspica,10.9150884642146,5.09067800176979
Extant,Pusa,hispida,11.1430929094908,5.11697532986758
Extant,Pusa,sibirica,11.4019939042629,5.23377884541047
Extant,Halichoerus,grypus,12.5698473265841,5.36480710781687
Extant,Phoca,vitulina,12.3444858526838,5.14312447714233
Extant,Phoca,largha,12.0853164443944,5.12396397940326
Extant,Cystophora,cristata,12.9277829872144,5.7876639586369
Extant,Erignathus,barbatus,12.5086925903462,6.01817950362556
Extant,Ailuropoda,melanoleuca,11.5935833679877,5.46001095554602
Extant,Tremarctos,ornatus,11.6082356447746,5.27438321625241
Extant,Ursus,arctos,12.0594270651887,5.82393307578666
Extant,Ursus,maritimus,12.8706917424756,6.13000835655604
Extant,Ursus,americanus,11.5124253399285,5.55998908356759
Extant,Ursus,thibetanus,11.2580332153414,5.74999789845316
Extant,Helarctos,malayanus,10.7472075915754,5.8442687922894
Extant,Melursus,ursinus,11.4417516455157,5.71998385399421
Fossil,Indarctos,oregonensis,13.2094397522816,6.47157319821191
Fossil,Cephalogale,ursinus,10.1723689955242,5.21553340506912
Fossil,Daphoenus,vetus,10.3557726312882,4.17438726989564
Fossil,Daphoenus,hartshornianus,10.0681541740914,4.02535169073515
Fossil,Daphoenodon,superbus,10.407620832441,4.89034912822175
Fossil,Hyaneodon,horridus,10.8043194093477,4.8283137373023
Fossil,Cynohyaenodon,cayluxi,7.82963038915019,2.484906649788
Fossil,Proviverra,typica,6.21460809842219,2.59897910604785
Fossil,Tritemnodon,agilis,9.09301972939964,3.25809653802148
Extant,Manis,javanica,8.54675199365778,2.61739583283408
Extant,Tapirus,indicus,12.3188302302903,5.57226809411352
Extant,Tapirus,terrestris,11.9734424883258,5.20384183832515
Extant,Rhinoceros,unicornis,14.6214153411517,6.67749899203072
Extant,Diceros,bicornis,13.7694588602705,6.42422051545205
Extant,Equus,zebra,12.5277393912029,6.30627528694802
Extant,Equus,quagga,12.4271163938002,6.21860011969173
Fossil,Mesohippus,bairdii,10.1251900660539,4.44265125649032
Extant,Boselaphus,tragocamelus,11.7360690162844,5.58799744166249
Extant,Syncerus,caffer,13.2566844581431,6.44809794179055
Extant,Bison,bison,12.9750227895056,6.12686918411419
Extant,Bos,primigenius,12.919592878898,6.12686918411419
Extant,Tragelaphus,strepsiceros,12.5425448821514,5.88887795833288
Extant,Tragelaphus,scriptus,10.3186719417052,4.96494033483413
Extant,Tragelaphus,spekii,10.6454248972655,4.97673374242057
Extant,Tragelaphus,eurycerus,12.2548628096996,5.93753620508243
Extant,Tragelaphus,imberbis,11.8844890214027,5.3890717298165
Extant,Tragelaphus,buxtoni,12.5425448821514,5.79909265446053
Extant,Tragelaphus,angasii,11.8277362048103,5.4380793089232
Extant,Aepyceros,melampus,10.7579028806922,5.20235697540213
Extant,Oreotragus,oreotragus,9.30565055178051,4.0842942263686
Extant,Connochaetes,gnou,11.9511803959014,5.82894561761021
Extant,Connochaetes,taurinus,11.9490296977104,5.90153983958
Extant,Alcelaphus,buselaphus,11.6505111279228,5.65213824150386
Extant,Damaliscus,lunatus,11.6172854802945,5.67194775113618
Extant,Oryx,dammah,11.7714361601217,5.32300997913841
Extant,Oryx,gazella,12.0137007528827,5.67675380226828
Extant,Addax,nasomaculatus,11.580584113444,5.22035582507832
Extant,Hippotragus,niger,12.0137007528827,5.64190707093811
Extant,Hippotragus,equinus,12.3816003429027,5.96074757444592
Extant,Rupicapra,rupicapra,10.2097582804242,4.76898827121749
Extant,Ammotragus,lervia,11.6082356447746,5.34233425196481
Extant,Ovis,ammon,10.9150884642146,4.9416424226093
Extant,Ovibos,moschatus,12.6523597481586,5.85793315448346
Extant,Pelea,capreolus,10.0858091093301,4.79579054559674
Extant,Kobus,leche,11.7199396343546,5.40582557426332
Extant,Kobus,kob,11.6741936125664,5.31811999384422
Extant,Kobus,ellipsiprymnus,12.3467037752699,5.74620319054015
Extant,Redunca,redunca,10.7684849900227,4.81624115606803
Extant,Redunca,arundinum,10.5505907945947,4.91852000518845
Extant,Redunca,fulvorufula,10.4042628404486,4.66343909411207
Extant,Philantomba,monticola,8.41183267575841,3.85904408063726
Extant,Philantomba,maxwellii,8.11870469009266,4.11087386417331
Extant,Cephalophus,dorsalis,9.93547059838918,4.37159743918334
Extant,Cephalophus,silvicultor,10.6689553946757,5.13579843705026
Extant,Cephalophus,zebra,9.21034037197618,4.4188406077966
Extant,Cephalophus,leucogaster,9.47270463644367,4.49702802736839
Extant,Cephalophus,nigrifrons,9.58190392840867,4.46210780314625
Extant,Cephalophus,natalensis,9.35010231435134,4.31079912538551
Extant,Sylvicapra,grimmia,9.44343425414356,4.34639945703073
Extant,Raphicerus,campestris,9.23014299927236,3.93769075217672
Extant,Raphicerus,melanotis,9.27331517113757,3.76120011569356
Extant,Madoqua,kirkii,8.37678103769949,3.52636052461616
Extant,Madoqua,saltiana,8.51719319141624,3.14630513203337
Extant,Saiga,tatarica,10.5966347330961,4.57130311647651
Extant,Gazella,dorcas,9.75701564863587,4.25985900069967
Extant,Gazella,gazella,9.96678295757495,4.33637528925479
Extant,Eudorcas,thomsonii,9.74096862303835,4.47779125665826
Extant,Eudorcas,rufifrons,10.1658518170036,4.5798523780038
