bc,N,kmean,clust,smean,wclust,dirname,filename,order,genus,species,interaction_type,population_type,division
-65.6643606384631,35,29.7714285714286,0.921745879151358,1.46402343726286,0.112511407725963,hyenas_groupmembership_weighted,hyena_holekamp_networkA_attribute,Carnivora,Crocuta,crocuta,group_membership,free-ranging,
-47.2482012253032,36,32.5,0.963124467434653,2.47605853788333,0.146484317490738,hyenas_groupmembership_weighted,hyena_holekamp_networkB_attribute,Carnivora,Crocuta,crocuta,group_membership,free-ranging,
-55.8715092725611,35,29.0857142857143,0.898634875695079,1.30990048929143,0.125130865071137,hyenas_groupmembership_weighted,hyena_holekamp_networkC_attribute,Carnivora,Crocuta,crocuta,group_membership,free-ranging,
615.858136160164,62,37.6451612903226,0.667144795982283,77.0645161290323,0.137781967568698,japanesemonkey_dominance_weighted,japanese_monkey_takahata,Primates,Macaca,fuscata fuscata,dominance,semi-ranging,old_world
-13.8824538729125,17,10.7058823529412,0.822177495706907,65.2941176470588,0.0705042316577195,kangaroo_proximity_weighted,weighted_kangaroo_interactions,Diprododontia,Macropus,giganteus,spatial_proximity,free-ranging,
,5,1.6,0,,0,kangaroo_rat_sexual_unweighted,kangaroo_rat_randall_sexual_network_attribute,Rodentia,Dipodomys,spectabilis ,FE_mating,free-ranging,
22.6828038680782,43,10.5116279069767,0.625494289751976,10.5116279069767,0.625494289751976,killerwhale_proximity_weighted,killer_whale_guimaraes,Artiodactyla,Orcinus,orca,spatial_proximity,free ranging,
2.60105256777871,7,1.71428571428571,0,2,0,lemur_sexual_weighted,lemur_pereira_sexual_network_1_attribute,Primates,Lemur,catta ,FE_mating,semi-ranging,
3.15217391304348,5,1.6,0,1.6,0,lemur_sexual_weighted,lemur_pereira_sexual_network_2_attribute,Primates,Lemur,catta ,FE_mating,semi-ranging,
13.7194817938301,19,12,0.699807356386304,11.9999999996632,0.074441249874592,macaca_artoides_grooming_griffin,weighted_primate_matrix_8,Primates,Macaca,arctoides,grooming,semi-ranging,old_world
-1362.37276964412,19,13.5789473684211,0.827382576144186,13.5789473684737,0.0742881721532953,macaca_assamensis_grooming_griffin,weighted_primate_matrix_9,Primates,Macaca,assamensis,grooming,free-ranging,old_world
3.11531117111683,21,5.71428571428571,0.380821823678966,5.69082227615238,0.0289599513174642,macaca_fuscata_grooming_griffin,weighted_primate_matrix_10,Primates,Macaca,fuscata,grooming,free-ranging,old_world
23.3948759731219,16,9.125,0.729766414141414,9.1249999999625,0.0801372925483258,macaca_mulatta_grooming_griffin,weighted_primate_matrix_11,Primates,Macaca,mulatta,grooming,free-ranging,old_world
